name,no,approximate_price,apply_date,auction_date,İhale Saati,auction_price,auction_no,contract_date,notes
118 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF012,"2311859,44",18.08.2017,10.10.2017,11:00:00,2278695,,Temin süresi:12 hafta,"NoGiderin AçıklamasıMiktarıÖlçü Birimi
1Adaptör 1-5/8 to N female20-10adet
2Adaptör  7/8 to N male10adet
37/8 to 1-5/8 düşürücü dönüştürücü10adet
4SMA male to N female dönüştürücü50adet
5SMA male to N male dönüştürücü50adet
6SMA female to N female dönüştürücü50adet
7SMA female to N male dönüştürücü50adet
8N male to N male dönüştürücü50adet
9N male to N male 90 deg dönüştürücü20adet
10N female to N female 90 deg dönüştürücü20adet
117/16 DIN male to N female 50adet
127/16 DIN male to N male50adet
137/16 DIN female to N female50adet
147/16 DIN female to N male50adet
15Kıvrımlı RF kablo tipi 90 deg N male konnector sıkıştırmalı tip (1/2 inç kablo için)100-15adet
16Kıvrımlı RF kablo tipi N female konnector sıkıştırmalı tip (1/2 inç kablo için)100adet
17Kıvrımlı RF kablo tipi 7/16 DIN male konnector sıkıştırmalı tip (7/8 inç kablo için)100-50adet
18Kıvrımlı RF kablo tipi N male konnector sıkıştırmalı tip (7/8 inç kablo için)100adet
19Kıvrımlı RF kablo tipi N female konnector sıkıştırmalı tip (7/8 inç kablo için)100-25adet
20Kıvrımlı RF kablo tipi N female konnector lehimsiz sıkıştırmalı tip (7/8 inç kablo için)100adet
21Zayıflatıcı 1 dB 10 Watt10adet
22Zayıflatıcı 2 dB  10 Watt10adet
23Zayıflatıcı 3 dB  10 Watt10adet
24Zayıflatıcı 4 dB  2 Watt10adet
25Zayıflatıcı 6 dB  10 Watt10adet
26Zayıflatıcı 9 dB 2 Watt10adet
27Zayıflatıcı 10 dB  10 Watt10adet
28Zayıflatıcı 12 dB  2 Watt10adet
29Zayıflatıcı 18 dB  2 Watt10adet
30Zayıflatıcı 20 dB  10 Watt10adet
31Zayıflatıcı 30 dB  10 Watt10adet
32Zayıflatıcı 1 dB 25 Watt10adet
33Zayıflatıcı 2 dB  25 Watt10adet
34Zayıflatıcı 3 dB  25 Watt10adet
35Zayıflatıcı 6 dB  25 Watt10adet
36Zayıflatıcı 10 dB  25 Watt10adet
37Zayıflatıcı 20 dB  25 Watt10adet
38Zayıflatıcı 30 dB  25 Watt10adet
39Zayıflatıcı 2 dB  50 Watt5adet
40Zayıflatıcı 3 dB  50 Watt5adet
41Zayıflatıcı 6 dB  50 Watt5adet
42Zayıflatıcı 10 dB  50 Watt5adet
43Zayıflatıcı 20 dB  50 Watt5adet
44Zayıflatıcı 30 dB  50 Watt5adet
45Zayıflatıcı Direnç Serisi (0-50 dB)14adet
46Zayıflatıcı Direnç Serisi (0-90 dB)14adet
47Yüksek güç zayıflatıcı (100W) 3dB15adet
48Yüksek güç zayıflatıcı (100W) 6dB15adet
49Yüksek güç zayıflatıcı (100W) 10dB15adet
50Yüksek güç zayıflatıcı (100W) 20dB15adet
51Yüksek güç zayıflatıcı (100W) 30dB15adet
52Yüksek güç zayıflatıcı (100W) 40dB15adet
53Yüksek güç zayıflatıcı (200W) 3dB2adet
54Yüksek güç zayıflatıcı (200W) 6dB2adet
55Yüksek güç zayıflatıcı (200W) 10dB2adet
56Yüksek güç zayıflatıcı (200W) 20dB2adet
57Yüksek güç zayıflatıcı (200W) 30dB2adet
58Yüksek güç zayıflatıcı (300W) 3dB2adet
59Yüksek güç zayıflatıcı (300W) 6dB2adet
60Yüksek güç zayıflatıcı (300W) 10dB2adet
61Yüksek güç zayıflatıcı (300W) 20dB2adet
62Yüksek güç zayıflatıcı (300W) 30dB2adet
63RF yük 8adet
64Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 1  2-1adet
65Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 22-1adet
66Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 328-1adet
67Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 428-1adet
68Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 512-1adet
69Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 612-1adet
70Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 72-1adet
71Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 82-1adet
72Düşük Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 92-1adet
73Yüksek Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 1  2-1adet
74Yüksek Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 2  2-1adet
75Yüksek Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 3  2-1adet
76Yüksek Güç Düşük Sönüm Hafif RF koaksiyel kablo tip 4  2-1adet
77Kıvrımlı RF kablo tipi N male konnektor lehimsiz sıkıştırmalı tip (1/2 inç kablo için)100Adet
78Kıvrımlı RF kablo tipi N female konnektor lehimsiz sıkıştırmalı tip (1/2 inç kablo için)100Adet
79Kablo Konnektör Hazırlama Malzemeleri Tip 420Adet
80Kıvrımlı RF kablo tipi 7/16 DIN male 90 deg konnektor sıkıştırmalı tip (7/8 inç kablo için)15Adet
81Kıvrımlı RF kablo tipi N female konnektor sıkıştırmalı tip (3/8 inç kablo için)250-200Adet
82Kablo Konnektör Hazırlama Malzemeleri Tip 120Adet
83Kablo Konnektör Hazırlama Malzemeleri Tip 220Adet
84Kablo Konnektör Hazırlama Malzemeleri Tip 320Adet
85N female to N female dönüştürücü75Adet
86N male to N female250Adet
87Kıvrımlı RF kablo tipi N male konnector sıkıştırmalı tip (1/2 inç kablo için)400Adet
88Kıvrımlı RF kablo tipi N male konnektor sıkıştırmalı tip (3/8 inç kablo için)500Adet
89Kıvrımlı RF kablo tipi N male 90 deg konnektor sıkıştırmalı tip (3/8 inç kablo için)100Adet
90Kıvrımlı RF kablo tipi N male konnektor sıkıştırmalı tip (1/4 inç kablo için)200Adet
91Kıvrımlı RF kablo tipi N female konnektor sıkıştırmalı tip (1/4 inç kablo için)100Adet
92Kıvrımlı RF kablo tipi N male 90 deg konnektor sıkıştırmalı tip (1/4 inç kablo için)50Adet
93Kıvrımlı RF kablo tipi 7/8 EIA konnektor sıkıştırmalı tip (7/8 inç kablo için)75Adet
94N  Konnektor için tork anahtarı4Adet
957/16  Konnektor için tork anahtarı4Adet
96Terminatör 6 W N( f)2Adet
97Terminatör 6 W N( m)2Adet
98Terminatör 10 W N( f)2Adet
99Terminatör 10 W N( m)2Adet
100Terminatör 15 W N( f)2Adet
101Terminatör 15 W N( m)2Adet
102Terminatör 25 W N( f)2Adet
103Terminatör 60 W N( f)2Adet
104Terminatör 60 W N( m)2Adet
105Direksiyonel Kuplör 6 dB2Adet
106Direksiyonel Kuplör 10 dB2Adet
107Direksiyonel Kuplör 20 dB2Adet
108Direksiyonel Kuplör 30 dB2Adet
109Bidireksiyonel Kuplör 40 dB2Adet
110Bidireksiyonel Kuplör 50 dB Tip12Adet
111Bidireksiyonel Kuplör 50 dB Tip22Adet
112Faz kilitli tespitleyici  entegre tip 12Adet
113Faz kilitli tespitleyici entegre tip 210Adet
114Faz kaydırıcı2Adet
115RF üreteç entegre tip 12Adet
116RF üreteç entegre tip 210Adet
1171-5/8 to 7/8 düşürücü dönüştürücü10adet
"
Dizel Jeneratörler İçin Dizel Yakıt Alımı,TARLA-2017TSRF013,57900,14.09.2017,26.09.2017,14:10:00,68322,122653,temin süresi:1 hafta,
Leak Dedektörü Bakım Onarım ve Kalibrasyonu,TARLA-2017TSBO004,57200,18.09.2017,06.10.2017,14:00:00,49000+KDV,122677,13.10.2017-12.12.2017,
Muhtelif Hizmet Alımı 1,TARLA-2017TSHZ024,56240,18.09.2017,06.10.2017,14:10:00,48500+KDV,122679,13.10.2017-28.10.2017,"Alımın İçeriği:
su soğutma sisteminin sürekli operasyonda düzenli çalışabilirliği için hizmet alımına ihtiyaç duyulmaktadır"
Yaka tipi oksijen dedektörü (3 adet) ve Duvar tipi oksijen dedektörü (5 adet),TARLA-2017TSDN020,57800,19.09.2017,06.10.2017,14:20:00,40000+KDV,122680,8 hafta-2.12.2017,
Demet Taşınım Hattı Sehpası İmalat Hizmeti,TARLA-2017TSHZ027,57600,20.09.2017,06.10.2017,14:30:00,50000+KDV,122695,13.10.2017-28.10.2017 (7 gün süre verildi 7.11.2017),
Yük Asansörleri İmalatı ve Kurulum Hizmeti ,TARLA-2017TSHZ029,315000,20.09.2017,,,,,,
Mekanik İmalat ve Montaj Destek Hizmeti,TARLA-2017TSHZ025,48900,21.09.2017,06.10.2017,14:50:00,42300+KDV,122705,13.10.2017-28.10.2017 (ek süre verildi 17.11.2017),
Demet Hattı Elemanları İmalatı Hizmeti,TARLA-2017TSHZ028,50200,22.09.2017,06.10.2017,14:40:00,44000+KDV,122701,13.10.2017-12.12.2017-(ek süre verildi -28.01.2018 ,
Diagnostik Donanımları İmalatı Hizmeti,TARLA-2017TSHZ031,47500,22.09.2017,06.10.2017,15:00:00,35000+KDV,122707,13.10.2017-12.12.2017-(90 gün süre verildi 12.03.2018,
33 Kalem Sarf Malzeme Alımı,,"33805,13",25.09.2017,03.11.2017,14:40:00,46500+ KDV,122808,4 HAFTA-02.12.2017-11.12.2017,"No""Malzemenin Cinsi          Miktarı               Ölçü Birimi
13x6 Düşük gerilim kablosu (NYY- J BK )100Metre
21x6 Düşük gerilim kablosu (NYY BK )100Metre
3""3x2.5 Düşük gerilim kablosu (NYY-J BK )""100Metre
41x16 Düşük gerilim kablosu (NYY BK )100Metre
5""3x1.5 Düşük gerilim kablosu (NYY-J BK )""140Metre
6""4x25 Düşük gerilim kablosu (NYY-J BK )""100Metre
75x6 Düşük gerilim kablosu (NYY- J BK )100Metre
8""3x0.75 Kontrol kablosu (JZ-500  GY G)""460Metre
95x1 Kontrol kablosu (JZ-500 GY G)260Metre
103x1 Kontrol kablosu (JZ-500 GY G)360Metre
1110x1 Kontrol kablosu (JZ-500 GY G)100Metre
1220x2x0.8 Elektronik kablo (JE-Y (St)Y)450Metre
132x0.8 Elektronik kablo (JE-Y(St) Y)650Metre
142x2x0.8 Elektronik kablo (JE-Y (St)Y)2000Metre
154x2x0.8 Elektronik kablo (JE-Y (St)Y)1200Metre
168x2x0.8 Elektronik kablo (JE-Y (St)Y)100Metre
17""12x0.75 Elektronik kablo (TRONIC-CY / LİY-CY)""   100Metre
182x0.75 Kontrol kablosu (F-CY- OZ)(LiY-CY)100Metre
192x1 Kontrol kablosu (F-CY-OZ) (LiY-CY)100Metre
203x0.75 Kontrol kablosu (H05VV5- F  GY G)130Metre
217x0.75 Kontrol kablosu (H05VV5- F GY G)100Metre
224x0.5 Kontrol kablosu (H05VV5-F GY G)100Metre
23PATCH2 FL CAT 6 kablo36Adet
24PATCH15 FL CAT 6 kablo3Adet
252x1.5 Hoparlör kablosu380Metre
26Fiber optik kablo (AT-VYY Multimode 2G62.5/125)100Metre
27""4x16 Düşük gerilim kablosu (2YSLCYK-J)""100Metre
28""4x1.5 Düşük gerilim kablosu (2YSLCYK-J)""100Metre
29""4x4 Düşük gerilim kablosu (2YSLCYK-J)""100Metre
30""5x1.5 Düşük gerilim kablosu (YSLYCY-JZ/-JB/-OZ/-OB)""300Metre
31""7x1.5 Düşük gerilim kablosu (YSLY-JZ/-JB/-OZ/-OB)"" 100Metre
321x6 H07 RN-F Kablo500Metre
33CAT 7 Kablo (24 AWG)1400Metre"
Helyum Odası Sıcak Hava Tahliye Sistemi Kurulumu Hizmeti,TARLA-2017TSHZ026,11250,22.09.2017,,,,,,
Seminer Salonu Tadilatı ve Onarımı Hizmeti ,TARLA-2017TSHZ030,57200,28.09.2017,03.11.2017,14:10:00,38850+KDV,122805,06.11.2017-15.12.2017-31.12.2017,
"Kontrol Sistemi Donanımları (Ağ Anahtarları, Server, Endüstriyel PC, İş İstasyonları, Bilgisayarlar, ADC vb) ",TARLA-2017TSDN021,50818,05.10.2017,03.11.2017,14:20:00,45620+ KDV,122806,2 hafta-17.11.2017,
Radyasyon Ölçüm Cihazları ve Ekipmanları,TARLA-2017TSDN022,220000,09.10.2017,,,,,,"Alımın İçeriği

1. 1 adet dozimetre elektrometresi
2. 2 adet İyon Odası tip 1
3. 6 adet İyon Odası tip 2"
20 Kalem Sarf Malzeme,TARLA-2017TSRF015,297360,10.10.2017,,,,,,"
Malzemenin CinsiMiktarıÖlçü Birimi
mantar buton seti, tip11 Adet
acil durum düğmesi, tip1 8 Adet
limit anahtarı tip 120 Adet
limit anahtarı tip 23 Adet
acil durum düğmesi, tip25 Adet
mekanik kilitli elektriksel anahtar, tip1     3 Adet
mekanik kilitli elektriksel anahtar, tip 2   7 Adet
hava damper motoru 22Adet
3 yollu vana motoru1Adet
kanal tipi sıcaklık sensörü, tip16 Adet
diferansiyel basınç sensörü, tip14 Adet
kanal tipi sıcaklık sensörü, tip25 Adet
donma koruma ünites i3 Adet
boru tipi sıcaklık sensörü 4 Adet
limit anahtarı, tip4  5 Adet
mantar buton seti, tip25 Adet
acil durum düğmesi, tip3 5 Adet
limit anahtarı, tip 55 Adet
pnomatik basınç anahtarı5 Adet
hidrolik basınç anahtarı2 Adet"
Yüksek Voltaj Dirençleri ,TARLA-2017TSRF016,"31623,82",12.10.2017,,,,,,"Alımın İçeriği                                                                               1 Yüksek Voltaj Dirençleri  Tip1 30 Adet
2 Yüksek Voltaj Dirençleri  Tip2 20 Adet
3 Yüksek Voltaj Dirençleri  Tip3 30 Adet
4 Yüksek Voltaj Dirençleri  Tip4 30 Adet"
Üyelik Aidatı,,"5629,52",13.10.2017,,,,,,
Muhtelif Hizmet Alımı 1,TARLA-2017TSHZ032,58000,17.10.2017,03.11.2017,14:30:00,44650+KDV,122807,20 gün-26.11.2017-04.12.2017-yazısı yazıldı,"Almıın İçeriği:
Kapı Değişimi ve Onarımı"
Radyasyon Donanımları,TARLA-2017TSDN024,1126440,17.10.2017,19.12.2017,15:00:00,815000,,,"Alımın İçeriği

Malzemenin Cinsi     Miktarı Ölçü Birimi
duvar tipi geiger-muller sayacı  10 Adet
duvar tipi iyon odası5 Adet
duvar tipi veri toplama ünitesi  8 Adet
portatif gama dedektörü1 Adet
portatif kontaminasyon dedektörü1 Adet
Duvar Tipi Geiger-Muller Sayacı 2 Adet
Duvar Tipi Veri Toplama Ünitesi 2 Adet
Kişisel Kontaminasyon Dedektörü  2 Adet
Duvar Tipi Veri Toplama Ünitesi1 Adet
Duvar Tipi İyon Odası2 Adet
Duvar Tipi Geiger Müller Sayacı 1 Adet"
Elektrik Altyapı Otomasyon Bakım Hizmeti,TARLA-2017TSHZ033,572500,18.10.2017,22.11.2017,10:00:00,,122849,,
Muhtelif Hizmet Alımı1 ,TARLA-2017TSHZ034,48000,18.10.2017,03.11.2017,14:00:00,40000+KDV,122804,2 hafta-16.11.2017,"Alımın İçeriği:                                                   temiz oda sistemi dahilindeki filtre kaçaklarının ölçümü ve vakum ısıtıcılarının testleri,temiz oda hava kalitesi analizi...vs"
7 Kalem Sarf Malzeme Alımı,,51550,19.10.2017,03.11.2017,14:50:00,"40627,4+KDV",122809,4 HAFTA-03.12.2017-15.12.2017,"Alımın İçeriği 
Malzemenin Cinsi    Miktarı Ölçü Birimi
Teflon Sprey50 Adet
M6 Bakır Somun     2000Adet
M8 Bakır Somun     2000Adet
M6 Gümüş Kaplama Somun  500 Adet
M8 Gümüş Kaplama Somun  500 Adet
M6 x 20 Gümüş Kaplı Cıvata 1500 Adet
M8 x 25 Gümüş Kaplı Cıvata 500  Adet"
Kesintisiz Güç Kaynağı Sistemi,TARLA-2017TSDN025,1290000,23.10.2017,19.12.2017,14:00:00,,,,
Kütle Spektrometresi,TARLA-2017TSDN023,"444306,91",23.10.2017,12.12.2017,09:00:00,438383,,teslim süresi:14-16 hafta,
CNC torna tezgahı,TARLA-2017TSDN026,215000,24.10.2017,,,,,,
UniGraphics NX,,"49996,6",24.10.2017,16.11.2017,09:50:00,35000+KDV,122865,3 hafta ,
36 Kalem Sarf Malzeme Alımı,,56270,25.10.2017,16.11.2017,10:00:00,50000+KDV,122867,16.12.2017,"Alımın İçeriği
Malzemenin Cinsi MiktarıÖlçü Birimi
Zemin Tipi Kablo Koruma Kanalı 20 Boy
Nitril Eldiven (pudrasız ve latexsiz)100Adet
2 yollu 304 Paslanmaz Çelik Küresel Vana, 10mm OD Tüp Swagelok Tip Vana10Adet
2 yollu 304 Paslanmaz Çelik Küresel Vana, 8mm OD Tüp Swagelok Tip Vana10Adet
Paslanmaz Çelik 304, Hızlı Bağlantı Elemanı Adaptörü, Tüp OD 10”, DN16KF10Adet
Paslanmaz Çelik 304, Hızlı Bağlantı Elemanı Adaptörü, Tüp OD 8”, DN16KF10Adet
304 Paslanmaz Çelik Tüp 10mm OD 2Boy
304 Paslanmaz Çelik Tüp 8mm OD 2Boy
304 Paslanmaz Çelik Tüp OD 1/4""2Boy
EN 10305-4 Standartlarında E235 Dikişsiz  Çelik Boru Çap 16mm Et Kalınlığı 2mm 10Boy
EN 10305-4 Standartlarında E235 Dikişsiz  Çelik Boru Çap 18mm Et Kalınlığı 2mm  10Boy
EN 10305-4 Standartlarında E235 Dikişsiz Çelik Boru Çap 20mm Et Kalınlığı 2mm  10Boy
90 Derece Yüksüklü Dirsek Bağlantı Elemanı Boru Çapı 16mm15Adet
90 Derece Yüksüklü Dirsek Bağlantı Elemanı Boru Çapı 18mm15Adet
90 derece Yüksüklü Dirsek Bağlantı Elemanı Boru Çapı 20mm15Adet
Yüksüklü TEE  Bağlantı Elemanı Boru Çapı 16mm15Adet
Yüksüklü TEE  Bağlantı Elemanı Boru Çapı 18mm15Adet
Yüksüklü TEE  Bağlantı Elemanı Boru Çapı 20mm15Adet
Yüksüklü Ekleme Nipeli Bağlantı Elemanı Boru Çapı 16mm10Adet
Yüksüklü Ekleme Nipeli Bağlantı Elemanı Boru Çapı 18mm10Adet
Yüksüklü Ekleme Nipeli Bağlantı Elemanı Boru Çapı 20mm10Adet
Yüksüklü Nipel Redüksiyon Bağlantı Elemanı 16mmx18mm5Adet
Yüksüklü Nipel Redüksiyon Bağlantı Elemanı 16mmx20mm5Adet
Yüksüklü Nipel Redüksiyon Bağlantı Elemanı 18mmx20mm5Adet
Çelik Boru Kelepçesi Boru Çap 16mm50Adet
Çelik Boru Kelepçesi Boru Çap 18mm50Adet
Çelik Boru Kelepçesi Boru Çap 20mm50Adet
Flex Cryogenics Hortum Tip 12Adet
Flex Cryogenics Hortum Tip 22Adet
Vakum Macunu Tip110Adet
Vakum Macunu Tip210Adet
Boru Tipi Süperyalıtım Tabakası 100Metretül
Elektronik Test Bandı 30Adet
Pnömatik Solenoid 3 yollu vana3Adet
Zaman roleli pnömatik vana2Adet
Pencere Sinekliği24Adet


"
8 Kalem Donanım Alımı,TARLA-2017TSDN027,9982,01.11.2017,16.11.2017,10:10:00,11092,122869,4 hafta-16.12.2017,"Alımın İçeriği:
Malzemenin Cinsi MiktarıÖlçü Birimi
1 ton Taşıma Kapasiteli Endüstriyel Kabinet Taşıma Arabası 1 Adet
Mikrometre Tip12 Adet
Mikrometre Tip25 Adet
Mikrometre Tip32 Adet
3 Basamaklı Pyramid Tipi Merdiven2  Adet
2 Basamaklı Pyramid Tipi Merdiven2 Adet
Kapsül Tip Düşük Basınç Ölçer3 Adet
Tekerlekli Yer Tipi Dispenser Mobil Metal Ayaklı Dispenser Çöp Torbalı 2 Adet"
Network Analizör ve Spektrum Analizör,TARLA-2017TSDN028,"809878,03",01.11.2017,21.12.2017,14:00:00,491130+KDV,,,
Test Ölçüm ve Bağlantı Sistemleri,TARLA-2017TSDN029,58500,01.11.2017,16.11.2017,10:20:00,53500+KDV,122871,2 hafta,
7 Kalem Donanım Alımı ,TARLA-2017TSDN030,35910,02.11.2017,16.11.2017,10:30:00,32250+KDV,122872,işe başladıktan itibaren 25 iş günü-11.12.2017,"Alımın İçeriği:
Malzemenin Cinsi MiktarıÖlçü Birimi
Motorlu Havalandırma Damperi Tip 13 Adet
Motorlu Havalandırma Damperi Tip 21 Adet
Motorlu Havalandırma Damperi Tip 32 Adet
Motorlu Havalandırma Damperi Tip 42 Adet
Motorlu Havalandırma Damperi Tip 52 Adet
Motorlu Havalandırma Damperi Tip 61 Adet
Motorlu Havalandırma Damperi Tip 73 Adet"
Dipole Magnet Üretim Hizmeti,TARLA-2017TSHZ035,57770,02.11.2017,21.11.2017,11:40:00,54850+KDV,122889,26.01.2018,
Solenoid Magnet Üretim Hizmeti ,TARLA-2017TSHZ037,57600,03.11.2017,21.11.2017,11:20:00,55084+KDV,122887,26.01.2018,
Muhtelif İş Güvenliği Ekipmanları ve Güvenlik Uyarı Levhaları,TARLA-2017TSRF017,19935,03.11.2017,30.11.2017,11:10:00,16500+KDV,122916,sözleşme tarihinden itibaren 6 hafta,
Enjektör Spektrometre İmalat Hizmeti ,TARLA-2017TSHZ039,58242,06.11.2017,21.11.2017,11:00:00,56500+KDV,122885,26.01.2018,
Mekanik İmalat İşleri- Korkuluk,TARLA-2017TSHZ036,57950,06.11.2017,30.11.2017,11:30:00,55100+KDV,122918,sözleşme tarihinden itibaren 30 gün,
ANSYS ,TARLA-2017TSYZ002,58500,07.11.2017,21.11.2017,11:30:00,51694+KDV,122888,1 hafta-05.12.2017,
Fiber Optik Fusion Cihazı,TARLA-2017TSDN031,28350,07.11.2017,21.11.2017,11:10:00,25423+KDV,122886,6 hafta,
Muhtelif Hizmet Alımı1 ,TARLA-2017TSHZ038,52500,09.11.2017,30.11.2017,11:20:00,47450+KDV,122917,sözleşme tarihinden itibaren 30 gün,"Alımın İçeriği

1. Soğutma Kulesi ıslak mod sirkülasyon tankı kurulumu
2. Helyum ve RF by-pass ve debimetre kesici vanalarının değişimi
3. 1 adet duvar tipi 9000btu fancoil montajı
4. Beamdump bağlantı noktalarının MSS tipA tipi flanş ile değiştirilmesi
5. FEL ve hızlandırıcı odalarına birer adet beamdump hattı çıkışı eklenmesi
6. Brems. Odasındaki beamdump hattına MSS tipA tipi by-pass hattı kurulması
7. Ana MCP panosu pompa TMŞ’lerinin ayrılması
8. Helyum kollektörü duvar konsollarının sağlamlaştırılması ve kollektör üzerindeki pas lekelerinin temizlenmesi
9. Helyum odasındaki kırık taşların tamiri
10. Helyum kollektörü üzerine tahliye vanaları konması
11. BL ve BD hattı tünellere tahliye kovaları yapılması
12. Hava purjorlerinin değiştirilmesi
13. CB1 esnek bağlantısının boyunun uzatılması
14. Helyum hattı debimetresinin revizyonu
15. Beamline ve beamdump buffer tanklarına harici ısıtıcı rezistansların montajı
16. Sistem genelinde ızgaralı pislik tutucuların ızgaralarının değişimi
17. D001 logar pompalarının tamiratı"
16 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF018,30155,15.11.2017,30.11.2017,11:00:00,26500+KDV,122915,10 iş günü,"Alımın İçeriği:Malzeme CinsiBirimMiktarı
100x40x1,5 mm pregalvaniz 2,4 m boy kablo kanalıAdet20
200x40x1,5 mm pregalvaniz 2,4 m boy kablo kanalıAdet100
300x40x1,5 mm pregalvaniz 2,4 m boy kablo kanalıAdet100
H40 ekleme parçasıAdet1000
100 mm pregalvaniz standart 90° H40 dönüşAdet30
200 mm pregalvaniz standart 90° H40 dönüşAdet30
300 mm pregalvaniz standart 90° H40 dönüşAdet30
U destek , L = 2400 t=2,0 mm.Adet100
U Konsol 125 mm.Adet50
U Konsol 225 mm.Adet200
U Konsol 325 mm.Adet200
M8 * 15 mm.b.b.civata+flanşlı somunAdet1000
M6 * 15 mm.b.b.civata+flanşlı somunAdet1000
Yüksek gerilim topraklama ıstakasıAdet2
54 W floüresan armatür, elektronik balastlı takım halindeAdet40
Kombine priz (en az 2xelektrik, 2xethernet hattı üstünde)Adet20"
7 Kalem Sarf Malzeme Alımı ,TARLA-2017TSRF023,58299,15.11.2017,22.12.2017,10:30:00,43500+KDV,122973,,"Alımın İçeriği:

Malzemenin Cinsi MiktarıÖlçü Birimi
PLC işlemcisi2 Adet
PLC analog modül   10 Adet
PLC dijital modül11Adet
PLC haberleşme modülü4 Adet
PLC analog röle5 Adet
PLC dijital röle5 Adet
HMI 2 Adet"
1000 lt Tekerlekli Sıvı Helyum Taşıma Saklama Tankı,TARLA-2017TSDN033,220422,16.11.2017,12.12.2017,09:30:00,197156,,teslim süresi:5 ay,
Yazılım Destek Hizmeti,TARLA-2017TSHZ041,57500,16.11.2017,07.12.2017,15:00:00,50700+KDV,122933,"11.12.2017-09.06.2018---05.01.2018,30.01.2018,24.02.2018,21.03.2018,15.04.2018,09.06.2018",
74 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF019,455373,17.11.2017,,,,,,
KGS Kontrol Panoları,TARLA-2017TSDN034,"959528,97",17.11.2017,12.12.2017,11:30:00,959528,,teslim süresi:90 gün,
Dozimetre doğrulama ve kalibrasyon hizmeti,TARLA-2017TSHZ040,34026,20.11.2017,,,,,,
8 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF020,55552,24.11.2017,07.12.2017,14:50:00,52000+KDV,122932,14.12.2017,"Alımın İçeriği
CAT7 Kablo3500 Metre
300 VOLT izolasyon seviyeli,6 core, blendajlı ve zırhlı data kablosu 50Metre
300 VOLT izolasyon seviyeli,25 core, blendajlı ve zırhlı data kablosu GENEX CABLING G40425 50Metre
RS232 düşük kapasiteli bilgisayar kablosu200Metre
RG11 triaksiyal kablo600Metre
RG-58 koaksiyel kablo600Metre
K-Tipi termokupl kablosu600Metre
2x0,75 mm2 zırhlı bükülmüş çift kablo1000Metre"
19 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF024,58211,23.11.2017,22.12.2017,11:00:00,55000+KDV,122970,,"Malzemenin Cinsi MiktarıÖlçü Birimi
Basınçlı Tesisat Sarf Malzemeleri  ( Borular, Fittingler, vb 7 Adet
Muhtelif Mekanik Sarf Malzemeler (Civata, Çelik, Alüminyum, Teflon Sarf Malzemeleri)  7Adet
Kaynak camı30Adet
Şeffaf Sıvı silikon20Adet
Beyaz sıvı silikon20Adet
Çekomastik silikon20Adet
Parmak rulo50Adet
Rulo5Adet
3 kg çelik macun3Adet
Gazaltı kaynak torcu1Adet
Gazaltı kaynak torç başlığı10Adet
Gazaltı kaynak kontak memesi50Adet
Kaynak Torcu2Adet
Tig Kaynak-Tungsten Uc30Adet
Tig Kaynak Teli20kutu
Mig-Mag Kaynak Meme Tutucu50Adet
45x45 Sigma Profil15Adet
30x30x3 Köşebent18Adet
Paslanmaz Çelik Makine Ayağı60Adet"
Vakum Fırın,TARLA-2017TSDN035,55780,23.11.2017,07.12.2017,15:10:00,,122934,,
Solvent Kabini,TARLA-2017TSDN037,46610,23.11.2017,07.12.2017,15:20:00,,122935,,
10 Kalem Sarf Malzeme Alımı,TARLA-2017TSRF022,45400,23.11.2017,07.12.2017,14:40:00,40000+KDV,122931,14.12.2017,
Solvent Uçurma Amaçlı Vakum Pompası,TARLA-2017TSDN039,58310,24.11.2017,07.12.2017,15:30:00,,122936,,
"Dozimetre Okuyucuları(Dozimetre Okuyucu Tip1, Dozimetre Okuyucu Tip2",TARLA-2017TSDN036,"236829,97",24.11.2017,,,,,,
Azot Tankı Tip1,TARLA-2017TSDN032,250800,29.11.2017,21.12.2017,15:00:00,175000+KDV,122939,işe başlama tarihinden itibaren 14 gün,
Araç Kiralama Hizmeti,TARLA-2017TSHZ042,40800,30.11.2017,22.12.2017,10:40:00,33600+KDV,122972,,
 Konferans Salonu Sandalyesi,,44604,04.12.2017,,,,,,
